cell_K,cell_lambda,seed,window,strategy,p_at_50,alpha,beta,gamma,delta
50,3.0,115,3,fixed,0.44,0.7,0.5,0.1,0.2
50,3.0,115,3,online,0.5,0.5,0.7,0.1,0.3
50,3.0,115,3,offline,0.54,0.5,0.5,0.0,0.3
50,3.0,116,3,fixed,0.58,0.7,0.5,0.1,0.2
50,3.0,116,3,online,0.62,0.5,0.7,0.1,0.3
50,3.0,116,3,offline,0.66,0.5,0.5,0.0,0.3
50,3.0,117,3,fixed,0.42,0.7,0.5,0.1,0.2
50,3.0,117,3,online,0.56,0.5,0.7,0.1,0.3
50,3.0,117,3,offline,0.58,0.5,0.5,0.0,0.3
50,3.0,118,3,fixed,0.54,0.7,0.5,0.1,0.2
50,3.0,118,3,online,0.58,0.5,0.7,0.1,0.3
50,3.0,118,3,offline,0.66,0.5,0.5,0.0,0.3
50,3.0,119,3,fixed,0.54,0.7,0.5,0.1,0.2
50,3.0,119,3,online,0.66,0.5,0.7,0.1,0.3
50,3.0,119,3,offline,0.66,0.5,0.5,0.0,0.3
50,3.0,120,3,fixed,0.5,0.7,0.5,0.1,0.2
50,3.0,120,3,online,0.54,0.5,0.7,0.1,0.3
50,3.0,120,3,offline,0.58,0.5,0.5,0.0,0.3
50,3.0,121,3,fixed,0.7,0.7,0.5,0.1,0.2
50,3.0,121,3,online,0.66,0.5,0.7,0.1,0.3
50,3.0,121,3,offline,0.72,0.5,0.5,0.0,0.3
50,3.0,122,3,fixed,0.5,0.7,0.5,0.1,0.2
50,3.0,122,3,online,0.6,0.5,0.7,0.1,0.3
50,3.0,122,3,offline,0.7,0.5,0.5,0.0,0.3
50,3.0,123,3,fixed,0.66,0.7,0.5,0.1,0.2
50,3.0,123,3,online,0.5,0.5,0.7,0.1,0.3
50,3.0,123,3,offline,0.66,0.5,0.5,0.0,0.3
50,3.0,124,3,fixed,0.56,0.7,0.5,0.1,0.2
50,3.0,124,3,online,0.52,0.5,0.7,0.1,0.3
50,3.0,124,3,offline,0.62,0.5,0.5,0.0,0.3
50,3.0,125,3,fixed,0.54,0.7,0.5,0.1,0.2
50,3.0,125,3,online,0.58,0.5,0.7,0.1,0.3
50,3.0,125,3,offline,0.6,0.5,0.5,0.0,0.3
50,3.0,126,3,fixed,0.66,0.7,0.5,0.1,0.2
50,3.0,126,3,online,0.64,0.5,0.7,0.1,0.3
50,3.0,126,3,offline,0.68,0.5,0.5,0.0,0.3
50,3.0,127,3,fixed,0.68,0.7,0.5,0.1,0.2
50,3.0,127,3,online,0.68,0.5,0.7,0.1,0.3
50,3.0,127,3,offline,0.76,0.5,0.5,0.0,0.3
50,3.0,128,3,fixed,0.56,0.7,0.5,0.1,0.2
50,3.0,128,3,online,0.78,0.5,0.7,0.1,0.3
50,3.0,128,3,offline,0.78,0.5,0.5,0.0,0.3
50,3.0,129,3,fixed,0.6,0.7,0.5,0.1,0.2
50,3.0,129,3,online,0.62,0.5,0.7,0.1,0.3
50,3.0,129,3,offline,0.64,0.5,0.5,0.0,0.3
50,3.0,105,4,fixed,0.48,0.7,0.5,0.1,0.2
50,3.0,105,4,online,0.56,0.5,0.5,0.0,0.3
50,3.0,105,4,offline,0.56,0.5,0.5,0.1,0.3
50,3.0,106,4,fixed,0.46,0.7,0.5,0.1,0.2
50,3.0,106,4,online,0.56,0.5,0.5,0.0,0.3
50,3.0,106,4,offline,0.54,0.5,0.5,0.1,0.3
50,3.0,107,4,fixed,0.46,0.7,0.5,0.1,0.2
50,3.0,107,4,online,0.56,0.5,0.5,0.0,0.3
50,3.0,107,4,offline,0.56,0.5,0.5,0.1,0.3
50,3.0,108,4,fixed,0.54,0.7,0.5,0.1,0.2
50,3.0,108,4,online,0.6,0.5,0.5,0.0,0.3
50,3.0,108,4,offline,0.6,0.5,0.5,0.1,0.3
50,3.0,109,4,fixed,0.46,0.7,0.5,0.1,0.2
50,3.0,109,4,online,0.46,0.5,0.5,0.0,0.3
50,3.0,109,4,offline,0.46,0.5,0.5,0.1,0.3
50,3.0,110,4,fixed,0.56,0.7,0.5,0.1,0.2
50,3.0,110,4,online,0.64,0.5,0.5,0.0,0.3
50,3.0,110,4,offline,0.64,0.5,0.5,0.1,0.3
50,3.0,111,4,fixed,0.58,0.7,0.5,0.1,0.2
50,3.0,111,4,online,0.64,0.5,0.5,0.0,0.3
50,3.0,111,4,offline,0.64,0.5,0.5,0.1,0.3
50,3.0,112,4,fixed,0.46,0.7,0.5,0.1,0.2
50,3.0,112,4,online,0.6,0.5,0.5,0.0,0.3
50,3.0,112,4,offline,0.6,0.5,0.5,0.1,0.3
50,3.0,113,4,fixed,0.4,0.7,0.5,0.1,0.2
50,3.0,113,4,online,0.56,0.5,0.5,0.0,0.3
50,3.0,113,4,offline,0.54,0.5,0.5,0.1,0.3
50,3.0,114,4,fixed,0.62,0.7,0.5,0.1,0.2
