batch_id,cell_id,seed,freeze_witness_id,strategy,weight_vector,capacity_ratio,blackout_policy,approver_policy,label_source,epss_era,catalog_strictness,ablation,t0_window_set,capacity_efficiency,ehd_absolute,n_pairs_total,n_t0_windows,scheduled_count_total,scheduler_feasibility
B-primary-ablation,ABL-w_context_dominant-remove_E,21,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3264062224.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,22,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3190535616.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,23,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3374727072.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,24,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3204090096.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,25,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3331947952.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,26,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3362881008.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,27,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3463659872.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,28,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3480329280.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,29,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3253679088.000000,201924000.000000,18.000000,2019240.000000,1.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,30,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,monthly_18_2023_09_to_2025_02,0.010000,3339473440.000000,201924000.000000,18.000000,2019240.000000,1.000000
