seed,axis,regime,ghost_rate,phantom_rate,total_error,retire,precision
1316,precision,,0.010398741860486236,0.17136942770622973,0.18176816956671596,,0.9
1316,precision,,0.009666345715443765,0.12523442535637205,0.1349007710718158,,0.95
1316,precision,,0.01000733687499599,0.08781997786069821,0.0978273147356942,,0.99
1317,regime,continuous,0.009857960401460125,0.1249726458213441,0.1348306062228042,,
1317,regime,periodic,0.5566955512543765,0.034111127274682,0.5908066785290585,,
1317,retire,,0.10483329570211047,0.05940052109149401,0.1642338167936045,7.0,
1317,retire,,0.03614586117160581,0.08072080070295716,0.11686666187456296,14.0,
1317,retire,,0.009857960401460125,0.1249726458213441,0.1348306062228042,30.0,
1317,retire,,0.007484993459455387,0.20774966632364558,0.21523465978310097,60.0,
1317,retire,,0.007670485850927001,0.37620110394622025,0.38387158979714725,120.0,
1317,precision,,0.01182351345233738,0.2705175514777713,0.2823410649301087,,0.8
1317,precision,,0.010044013575339565,0.17142787920727154,0.1814718927826111,,0.9
1317,precision,,0.009857960401460125,0.1249726458213441,0.1348306062228042,,0.95
1317,precision,,0.009647231726546095,0.08748929521709455,0.09713652694364064,,0.99
1318,regime,continuous,0.010170631814090125,0.12445947266172308,0.1346301044758132,,
1318,regime,periodic,0.5722376429584416,0.02921299281286366,0.6014506357713052,,
1318,retire,,0.1071637353885369,0.059886551655053306,0.1670502870435902,7.0,
1318,retire,,0.039223174996546255,0.08116973928290673,0.12039291427945298,14.0,
1318,retire,,0.010170631814090125,0.12445947266172308,0.1346301044758132,30.0,
1318,retire,,0.007439512498719968,0.2055633153906174,0.21300282788933736,60.0,
1318,retire,,0.007392706973653057,0.361780827590445,0.36917353456409807,120.0,
1318,precision,,0.011646341249348964,0.2711078842086474,0.2827542254579964,,0.8
1318,precision,,0.011053972783266332,0.17267021149084824,0.18372418427411458,,0.9
1318,precision,,0.010170631814090125,0.12445947266172308,0.1346301044758132,,0.95
1318,precision,,0.009678620359021823,0.08558017067401193,0.09525879103303375,,0.99
1319,regime,continuous,0.009543480416194142,0.1227586559148959,0.13230213633109006,,
1319,regime,periodic,0.5643147777431379,0.029127853727784096,0.593442631470922,,
1319,retire,,0.09939575564186612,0.06008229884446357,0.15947805448632968,7.0,
1319,retire,,0.03836039047126177,0.07999104262549686,0.11835143309675863,14.0,
1319,retire,,0.009543480416194142,0.1227586559148959,0.13230213633109006,30.0,
1319,retire,,0.007385457004889519,0.20308302219735244,0.21046847920224196,60.0,
1319,retire,,0.007466431614775277,0.37438085583328407,0.38184728744805935,120.0,
1319,precision,,0.012567672176445298,0.2721637555435178,0.28473142771996307,,0.8
1319,precision,,0.010633727421880245,0.17556493014729735,0.18619865756917758,,0.9
1319,precision,,0.009543480416194142,0.1227586559148959,0.13230213633109006,,0.95
1319,precision,,0.00950511790031847,0.08658170861329502,0.09608682651361349,,0.99
1320,regime,continuous,0.010032654001381052,0.12371906885381366,0.1337517228551947,,
1320,regime,periodic,0.5847136459864807,0.0332635887426189,0.6179772347290996,,
1320,retire,,0.09981362813106268,0.05938970246802243,0.1592033305990851,7.0,
1320,retire,,0.04068799377086196,0.07915424321657967,0.11984223698744163,14.0,
1320,retire,,0.010032654001381052,0.12371906885381366,0.1337517228551947,30.0,
1320,retire,,0.007993883167108482,0.2126342811254032,0.22062816429251167,60.0,
1320,retire,,0.007483599175800279,0.37537476199044933,0.3828583611662496,120.0,
1320,precision,,0.012920017786350397,0.27080860922607536,0.28372862701242574,,0.8
1320,precision,,0.010963085085590246,0.17259217507380104,0.18355526015939128,,0.9
1320,precision,,0.010032654001381052,0.12371906885381366,0.1337517228551947,,0.95
1320,precision,,0.009267679683023552,0.08693844644765931,0.09620612613068287,,0.99
1321,regime,continuous,0.01008848509531904,0.11981808636517396,0.129906571460493,,
1321,regime,periodic,0.5676094868355538,0.03331094267438423,0.6009204295099381,,
1321,retire,,0.10984294442603702,0.058571449838360094,0.1684143942643971,7.0,
1321,retire,,0.0390717232762734,0.0806746585644184,0.1197463818406918,14.0,
1321,retire,,0.01008848509531904,0.11981808636517396,0.129906571460493,30.0,
1321,retire,,0.007781688627573299,0.20627574817163788,0.2140574367992112,60.0,
1321,retire,,0.007470773763010078,0.37561855268814276,0.38308932645115285,120.0,
1321,precision,,0.012295959086525863,0.2692792097716226,0.2815751688581485,,0.8
1321,precision,,0.010491242546892604,0.17743649651922513,0.18792773906611773,,0.9
1321,precision,,0.01008848509531904,0.11981808636517396,0.129906571460493,,0.95
1321,precision,,0.00977514707175214,0.08589771903698017,0.09567286610873231,,0.99
1322,regime,continuous,0.00964547909147323,0.1235130432390461,0.13315852233051934,,
1322,regime,periodic,0.5673119402678889,0.030045605786720574,0.5973575460546094,,
1322,retire,,0.09670355904713088,0.06047657065655888,0.15718012970368975,7.0,
1322,retire,,0.04022000247707819,0.08068100199892878,0.12090100447600696,14.0,
1322,retire,,0.00964547909147323,0.1235130432390461,0.13315852233051934,30.0,
1322,retire,,0.007383854950792876,0.21125400396144783,0.21863785891224072,60.0,
1322,retire,,0.008362576567961038,0.3817315584199589,0.39009413498791995,120.0,
1322,precision,,0.012599032956691302,0.2684391844607327,0.281038217417424,,0.8
1322,precision,,0.011002690644245335,0.17444173122567888,0.18544442186992421,,0.9
1322,precision,,0.00964547909147323,0.1235130432390461,0.13315852233051934,,0.95
1322,precision,,0.009594537818245236,0.08377583451265336,0.0933703723308986,,0.99
1323,regime,continuous,0.009998886385924987,0.12299093704491311,0.1329898234308381,,
1323,regime,periodic,0.5851438530472843,0.031222655706956884,0.6163665087542413,,
1323,retire,,0.10519576236509452,0.05904639116478422,0.16424215352987875,7.0,
1323,retire,,0.0396282299016415,0.08130581844955698,0.12093404835119848,14.0,
1323,retire,,0.009998886385924987,0.12299093704491311,0.1329898234308381,30.0,
1323,retire,,0.007639382653502139,0.20722670464276552,0.21486608729626766,60.0,
1323,retire,,0.007014064080021228,0.3530227143867177,0.3600367784667389,120.0,
1323,precision,,0.01224796664262897,0.27178563351240326,0.2840336001550322,,0.8
1323,precision,,0.010585042269135654,0.17125869871184143,0.18184374098097708,,0.9
1323,precision,,0.009998886385924987,0.12299093704491311,0.1329898234308381,,0.95
1323,precision,,0.009855814685638616,0.0834359318616187,0.09329174654725732,,0.99
1324,regime,continuous,0.009976296185123155,0.12296098527064128,0.13293728145576444,,
1324,regime,periodic,0.5753639560414755,0.029130602579093584,0.6044945586205691,,
1324,retire,,0.09471378906360865,0.061197758865842965,0.1559115479294516,7.0,
1324,retire,,0.04067546599978204,0.08110524483798219,0.12178071083776423,14.0,
1324,retire,,0.009976296185123155,0.12296098527064128,0.13293728145576444,30.0,
1324,retire,,0.007819058940022723,0.20670118908248664,0.21452024802250935,60.0,
1324,retire,,0.007656680921422818,0.3719972332251239,0.3796539141465467,120.0,
1324,precision,,0.012239752567540004,0.27451819163766794,0.28675794420520795,,0.8
1324,precision,,0.011373450645145913,0.17625210433118607,0.187625554976332,,0.9
1324,precision,,0.009976296185123155,0.12296098527064128,0.13293728145576444,,0.95
1324,precision,,0.009484486583473327,0.08716153220244874,0.09664601878592206,,0.99
