seed,gaming_fraction,method,p_at_50,n_positives
120,0.3,EPSS-only,0.18,173
120,0.3,HRS-only,0.26,173
121,0.0,HygienePrio-full,0.52,168
121,0.0,EPSS-only,0.34,168
121,0.0,HRS-only,0.32,168
121,0.05,HygienePrio-full,0.52,168
121,0.05,EPSS-only,0.14,168
121,0.05,HRS-only,0.32,168
121,0.1,HygienePrio-full,0.52,168
121,0.1,EPSS-only,0.14,168
121,0.1,HRS-only,0.32,168
121,0.15,HygienePrio-full,0.52,168
121,0.15,EPSS-only,0.14,168
121,0.15,HRS-only,0.32,168
121,0.2,HygienePrio-full,0.52,168
121,0.2,EPSS-only,0.14,168
121,0.2,HRS-only,0.32,168
121,0.3,HygienePrio-full,0.58,168
121,0.3,EPSS-only,0.14,168
121,0.3,HRS-only,0.32,168
122,0.0,HygienePrio-full,0.46,163
122,0.0,EPSS-only,0.24,163
122,0.0,HRS-only,0.24,163
122,0.05,HygienePrio-full,0.46,163
122,0.05,EPSS-only,0.08,163
122,0.05,HRS-only,0.24,163
122,0.1,HygienePrio-full,0.48,163
122,0.1,EPSS-only,0.08,163
122,0.1,HRS-only,0.24,163
122,0.15,HygienePrio-full,0.44,163
122,0.15,EPSS-only,0.08,163
122,0.15,HRS-only,0.24,163
122,0.2,HygienePrio-full,0.48,163
122,0.2,EPSS-only,0.08,163
122,0.2,HRS-only,0.24,163
122,0.3,HygienePrio-full,0.5,163
122,0.3,EPSS-only,0.08,163
122,0.3,HRS-only,0.24,163
123,0.0,HygienePrio-full,0.64,166
123,0.0,EPSS-only,0.46,166
123,0.0,HRS-only,0.16,166
123,0.05,HygienePrio-full,0.66,166
123,0.05,EPSS-only,0.3,166
123,0.05,HRS-only,0.16,166
123,0.1,HygienePrio-full,0.64,166
123,0.1,EPSS-only,0.3,166
123,0.1,HRS-only,0.16,166
123,0.15,HygienePrio-full,0.66,166
123,0.15,EPSS-only,0.3,166
123,0.15,HRS-only,0.16,166
123,0.2,HygienePrio-full,0.62,166
123,0.2,EPSS-only,0.3,166
123,0.2,HRS-only,0.16,166
123,0.3,HygienePrio-full,0.62,166
123,0.3,EPSS-only,0.3,166
123,0.3,HRS-only,0.16,166
124,0.0,HygienePrio-full,0.58,164
124,0.0,EPSS-only,0.38,164
124,0.0,HRS-only,0.22,164
124,0.05,HygienePrio-full,0.58,164
124,0.05,EPSS-only,0.22,164
124,0.05,HRS-only,0.22,164
124,0.1,HygienePrio-full,0.58,164
124,0.1,EPSS-only,0.22,164
124,0.1,HRS-only,0.22,164
124,0.15,HygienePrio-full,0.6,164
124,0.15,EPSS-only,0.22,164
124,0.15,HRS-only,0.22,164
124,0.2,HygienePrio-full,0.58,164
124,0.2,EPSS-only,0.22,164
124,0.2,HRS-only,0.22,164
124,0.3,HygienePrio-full,0.58,164
124,0.3,EPSS-only,0.22,164
124,0.3,HRS-only,0.22,164
125,0.0,HygienePrio-full,0.58,163
125,0.0,EPSS-only,0.36,163
125,0.0,HRS-only,0.28,163
125,0.05,HygienePrio-full,0.6,163
125,0.05,EPSS-only,0.24,163
125,0.05,HRS-only,0.28,163
125,0.1,HygienePrio-full,0.58,163
125,0.1,EPSS-only,0.24,163
125,0.1,HRS-only,0.28,163
125,0.15,HygienePrio-full,0.58,163
125,0.15,EPSS-only,0.24,163
125,0.15,HRS-only,0.28,163
125,0.2,HygienePrio-full,0.6,163
125,0.2,EPSS-only,0.24,163
125,0.2,HRS-only,0.28,163
125,0.3,HygienePrio-full,0.58,163
125,0.3,EPSS-only,0.24,163
125,0.3,HRS-only,0.28,163
126,0.0,HygienePrio-full,0.6,171
126,0.0,EPSS-only,0.32,171
126,0.0,HRS-only,0.28,171
126,0.05,HygienePrio-full,0.6,171
126,0.05,EPSS-only,0.18,171
126,0.05,HRS-only,0.28,171
126,0.1,HygienePrio-full,0.58,171
126,0.1,EPSS-only,0.18,171
126,0.1,HRS-only,0.28,171
126,0.15,HygienePrio-full,0.6,171
126,0.15,EPSS-only,0.18,171
126,0.15,HRS-only,0.28,171
126,0.2,HygienePrio-full,0.58,171
126,0.2,EPSS-only,0.18,171
126,0.2,HRS-only,0.28,171
126,0.3,HygienePrio-full,0.62,171
126,0.3,EPSS-only,0.18,171
126,0.3,HRS-only,0.28,171
127,0.0,HygienePrio-full,0.52,161
127,0.0,EPSS-only,0.28,161
127,0.0,HRS-only,0.32,161
127,0.05,HygienePrio-full,0.46,161
127,0.05,EPSS-only,0.14,161
127,0.05,HRS-only,0.32,161
127,0.1,HygienePrio-full,0.46,161
127,0.1,EPSS-only,0.12,161
127,0.1,HRS-only,0.32,161
127,0.15,HygienePrio-full,0.46,161
127,0.15,EPSS-only,0.12,161
127,0.15,HRS-only,0.32,161
127,0.2,HygienePrio-full,0.44,161
127,0.2,EPSS-only,0.12,161
127,0.2,HRS-only,0.32,161
127,0.3,HygienePrio-full,0.44,161
127,0.3,EPSS-only,0.12,161
127,0.3,HRS-only,0.32,161
128,0.0,HygienePrio-full,0.72,167
128,0.0,EPSS-only,0.38,167
128,0.0,HRS-only,0.2,167
128,0.05,HygienePrio-full,0.62,167
128,0.05,EPSS-only,0.18,167
128,0.05,HRS-only,0.2,167
128,0.1,HygienePrio-full,0.54,167
128,0.1,EPSS-only,0.18,167
128,0.1,HRS-only,0.2,167
128,0.15,HygienePrio-full,0.5,167
128,0.15,EPSS-only,0.18,167
128,0.15,HRS-only,0.2,167
128,0.2,HygienePrio-full,0.5,167
128,0.2,EPSS-only,0.18,167
128,0.2,HRS-only,0.2,167
128,0.3,HygienePrio-full,0.46,167
128,0.3,EPSS-only,0.18,167
128,0.3,HRS-only,0.2,167
129,0.0,HygienePrio-full,0.58,163
129,0.0,EPSS-only,0.36,163
129,0.0,HRS-only,0.22,163
129,0.05,HygienePrio-full,0.54,163
129,0.05,EPSS-only,0.24,163
129,0.05,HRS-only,0.22,163
129,0.1,HygienePrio-full,0.54,163
129,0.1,EPSS-only,0.24,163
129,0.1,HRS-only,0.22,163
129,0.15,HygienePrio-full,0.54,163
129,0.15,EPSS-only,0.24,163
129,0.15,HRS-only,0.22,163
129,0.2,HygienePrio-full,0.54,163
129,0.2,EPSS-only,0.24,163
129,0.2,HRS-only,0.22,163
129,0.3,HygienePrio-full,0.54,163
129,0.3,EPSS-only,0.24,163
129,0.3,HRS-only,0.22,163
