tau,cell_K,cell_lambda,seed,window,strategy,p_at_50
0.02,50,3.0,106,5,offline,0.56
0.02,50,3.0,107,5,fixed,0.48
0.02,50,3.0,107,5,lag1,0.62
0.02,50,3.0,107,5,adaptive,0.48
0.02,50,3.0,107,5,gated,0.62
0.02,50,3.0,107,5,offline,0.54
0.02,50,3.0,108,5,fixed,0.52
0.02,50,3.0,108,5,lag1,0.6
0.02,50,3.0,108,5,adaptive,0.52
0.02,50,3.0,108,5,gated,0.6
0.02,50,3.0,108,5,offline,0.54
0.02,50,3.0,109,5,fixed,0.58
0.02,50,3.0,109,5,lag1,0.66
0.02,50,3.0,109,5,adaptive,0.58
0.02,50,3.0,109,5,gated,0.66
0.02,50,3.0,109,5,offline,0.62
0.02,50,3.0,110,5,fixed,0.48
0.02,50,3.0,110,5,lag1,0.6
0.02,50,3.0,110,5,adaptive,0.48
0.02,50,3.0,110,5,gated,0.6
0.02,50,3.0,110,5,offline,0.52
0.02,50,3.0,111,5,fixed,0.46
0.02,50,3.0,111,5,lag1,0.5
0.02,50,3.0,111,5,adaptive,0.46
0.02,50,3.0,111,5,gated,0.5
0.02,50,3.0,111,5,offline,0.46
0.02,50,3.0,112,5,fixed,0.5
0.02,50,3.0,112,5,lag1,0.56
0.02,50,3.0,112,5,adaptive,0.5
0.02,50,3.0,112,5,gated,0.56
0.02,50,3.0,112,5,offline,0.52
0.02,50,3.0,113,5,fixed,0.52
0.02,50,3.0,113,5,lag1,0.6
0.02,50,3.0,113,5,adaptive,0.52
0.02,50,3.0,113,5,gated,0.6
0.02,50,3.0,113,5,offline,0.5
0.02,50,3.0,114,5,fixed,0.58
0.02,50,3.0,114,5,lag1,0.64
0.02,50,3.0,114,5,adaptive,0.58
0.02,50,3.0,114,5,gated,0.64
0.02,50,3.0,114,5,offline,0.64
0.02,50,3.0,115,5,fixed,0.54
0.02,50,3.0,115,5,lag1,0.54
0.02,50,3.0,115,5,adaptive,0.54
0.02,50,3.0,115,5,gated,0.54
0.02,50,3.0,115,5,offline,0.58
0.02,50,3.0,116,5,fixed,0.58
0.02,50,3.0,116,5,lag1,0.58
0.02,50,3.0,116,5,adaptive,0.58
0.02,50,3.0,116,5,gated,0.58
0.02,50,3.0,116,5,offline,0.6
0.02,50,3.0,117,5,fixed,0.42
0.02,50,3.0,117,5,lag1,0.52
0.02,50,3.0,117,5,adaptive,0.42
0.02,50,3.0,117,5,gated,0.52
0.02,50,3.0,117,5,offline,0.44
0.02,50,3.0,118,5,fixed,0.52
0.02,50,3.0,118,5,lag1,0.6
0.02,50,3.0,118,5,adaptive,0.52
0.02,50,3.0,118,5,gated,0.6
0.02,50,3.0,118,5,offline,0.54
0.02,50,3.0,119,5,fixed,0.52
0.02,50,3.0,119,5,lag1,0.46
0.02,50,3.0,119,5,adaptive,0.52
0.02,50,3.0,119,5,gated,0.46
0.02,50,3.0,119,5,offline,0.5
