seed,sigma,method,n_mcetp,mwp_at_50,ndcg_at_50,mwp_at_100,ndcg_at_100,mwp_at_250,ndcg_at_250
504,0.0,Random,31,0.0,0.0,0.0,0.0,0.012,0.0435
504,0.0,Context-only,31,0.04,0.0421,0.04,0.0752,0.032,0.1343
504,0.0,PTI-full,31,0.3,0.5725,0.24,0.7282,0.124,0.839
504,0.0,PTI-noObs,31,0.28,0.5521,0.23,0.7088,0.12,0.8162
504,0.0,PTI-noCrit,31,0.22,0.2505,0.21,0.4236,0.124,0.5784
504,0.25,EPSS-day0,31,0.22,0.2526,0.21,0.4247,0.124,0.5794
504,0.25,CAP-day0,31,0.28,0.5289,0.26,0.7326,0.124,0.811
504,0.25,EPSS-matured-oracle,31,0.32,0.5918,0.24,0.7293,0.124,0.8401
504,0.25,CVSS-only,31,0.22,0.2583,0.2,0.4125,0.116,0.5487
504,0.25,Random,31,0.02,0.021,0.01,0.021,0.02,0.0787
504,0.25,Context-only,31,0.04,0.0421,0.04,0.0752,0.032,0.1343
504,0.25,PTI-full,31,0.28,0.5661,0.25,0.7547,0.124,0.849
504,0.25,PTI-noObs,31,0.28,0.542,0.24,0.7124,0.12,0.8027
504,0.25,PTI-noCrit,31,0.22,0.2485,0.21,0.4203,0.124,0.5749
504,0.5,EPSS-day0,31,0.22,0.2589,0.22,0.4498,0.124,0.5868
504,0.5,CAP-day0,31,0.3,0.5579,0.25,0.7307,0.124,0.8229
504,0.5,EPSS-matured-oracle,31,0.32,0.5918,0.24,0.7293,0.124,0.8401
504,0.5,CVSS-only,31,0.2,0.228,0.22,0.4394,0.124,0.5741
504,0.5,Random,31,0.0,0.0,0.02,0.0339,0.02,0.0795
504,0.5,Context-only,31,0.04,0.0421,0.04,0.0752,0.032,0.1343
504,0.5,PTI-full,31,0.34,0.6209,0.25,0.759,0.124,0.8531
504,0.5,PTI-noObs,31,0.34,0.562,0.25,0.7014,0.124,0.793
504,0.5,PTI-noCrit,31,0.22,0.2598,0.22,0.4506,0.124,0.5893
504,0.75,EPSS-day0,31,0.22,0.2708,0.21,0.4471,0.12,0.5849
504,0.75,CAP-day0,31,0.28,0.5494,0.26,0.7587,0.124,0.832
504,0.75,EPSS-matured-oracle,31,0.32,0.5918,0.24,0.7293,0.124,0.8401
504,0.75,CVSS-only,31,0.2,0.2292,0.21,0.416,0.12,0.5491
504,0.75,Random,31,0.06,0.092,0.05,0.1257,0.028,0.1567
504,0.75,Context-only,31,0.04,0.0421,0.04,0.0752,0.032,0.1343
504,0.75,PTI-full,31,0.3,0.578,0.25,0.7529,0.124,0.8434
504,0.75,PTI-noObs,31,0.24,0.4923,0.22,0.6678,0.12,0.789
504,0.75,PTI-noCrit,31,0.22,0.2556,0.22,0.4455,0.12,0.5675
504,1.0,EPSS-day0,31,0.26,0.3309,0.2,0.4523,0.124,0.6181
504,1.0,CAP-day0,31,0.28,0.5355,0.24,0.7096,0.124,0.8164
504,1.0,EPSS-matured-oracle,31,0.32,0.5918,0.24,0.7293,0.124,0.8401
504,1.0,CVSS-only,31,0.2,0.2504,0.2,0.4207,0.112,0.5393
504,1.0,Random,31,0.04,0.0455,0.03,0.0615,0.016,0.0756
504,1.0,Context-only,31,0.04,0.0421,0.04,0.0752,0.032,0.1343
504,1.0,PTI-full,31,0.24,0.4973,0.25,0.7241,0.124,0.8143
504,1.0,PTI-noObs,31,0.24,0.4758,0.23,0.6656,0.112,0.7402
504,1.0,PTI-noCrit,31,0.18,0.2128,0.23,0.4526,0.124,0.5715
505,0.0,EPSS-day0,31,0.2,0.3282,0.23,0.5516,0.124,0.6752
505,0.0,CAP-day0,31,0.24,0.4693,0.27,0.7325,0.124,0.7954
505,0.0,EPSS-matured-oracle,31,0.3,0.5619,0.27,0.7707,0.124,0.8338
505,0.0,CVSS-only,31,0.24,0.3254,0.22,0.4991,0.12,0.6212
505,0.0,Random,31,0.0,0.0,0.0,0.0,0.004,0.014
505,0.0,Context-only,31,0.04,0.0545,0.04,0.0897,0.048,0.2075
505,0.0,PTI-full,31,0.3,0.5619,0.27,0.7707,0.124,0.8338
505,0.0,PTI-noObs,31,0.34,0.5997,0.26,0.7563,0.124,0.8309
505,0.0,PTI-noCrit,31,0.2,0.2872,0.23,0.5106,0.124,0.6342
505,0.25,EPSS-day0,31,0.2,0.2557,0.23,0.4811,0.124,0.6025
