seed,overlap,recall_realtime,recall_scheduled,recall_fusion,gain_over_best_single,gain_over_realtime,scheduled_only_fresh,coverage_union,blind_spot,fusion_miss,miss_above_floor
1016,0.5,0.7485342019543973,0.40781758957654723,0.867100977198697,0.1185667752442997,0.1185667752442997,0.11856677524429968,0.9394136807817589,0.06058631921824109,0.13289902280130295,0.07231270358306185
1016,0.55,0.7325186693822132,0.43245078071961984,0.823489477257298,0.09097080787508482,0.09097080787508482,0.09097080787508487,0.8893414799728445,0.11065852002715548,0.17651052274270196,0.06585200271554648
1016,0.6,0.7598371777476255,0.41994572591587515,0.8134328358208955,0.05359565807327005,0.05359565807327005,0.05359565807327001,0.8487109905020352,0.15128900949796475,0.18656716417910446,0.035278154681139706
1016,0.7,0.7425149700598802,0.3978709248170326,0.7425149700598802,0.0,0.0,0.0,0.7425149700598802,0.2574850299401198,0.2574850299401198,0.0
1017,0.45,0.7533892834086507,0.4196255648805681,0.8973531310522918,0.143963847643641,0.143963847643641,0.14396384764364106,1.0,0.0,0.10264686894770825,0.10264686894770825
1017,0.5,0.7511737089201878,0.3997317236753856,0.8544600938967136,0.10328638497652587,0.10328638497652587,0.10328638497652583,0.9329309188464118,0.06706908115358823,0.14553990610328638,0.07847082494969815
1017,0.55,0.7516469038208169,0.41040843214756256,0.8379446640316206,0.08629776021080371,0.08629776021080371,0.0862977602108037,0.8965744400527009,0.10342555994729907,0.1620553359683794,0.058629776021080326
1017,0.6,0.7443559096945551,0.41899070385126164,0.8007968127490039,0.05644090305444882,0.05644090305444882,0.05644090305444887,0.8366533864541833,0.1633466135458167,0.19920318725099606,0.03585657370517936
1017,0.7,0.7617161716171618,0.40924092409240925,0.7617161716171618,0.0,0.0,0.0,0.7617161716171618,0.23828382838283824,0.23828382838283824,0.0
1018,0.45,0.7558372248165444,0.41694462975316876,0.904603068712475,0.14876584389593062,0.14876584389593062,0.14876584389593062,1.0,0.0,0.09539693128752502,0.09539693128752502
1018,0.5,0.7381768334475668,0.4160383824537354,0.8725154215215901,0.13433858807402332,0.13433858807402332,0.1343385880740233,0.95407813570939,0.04592186429060996,0.12748457847840988,0.08156271418779992
1018,0.55,0.7485493230174082,0.41328175370728565,0.8433268858800773,0.09477756286266914,0.09477756286266914,0.09477756286266925,0.8987749838813669,0.1012250161186331,0.15667311411992269,0.05544809800128958
1018,0.6,0.7376271186440678,0.40271186440677964,0.8040677966101695,0.06644067796610165,0.06644067796610165,0.06644067796610169,0.8440677966101695,0.1559322033898305,0.19593220338983053,0.040000000000000036
1018,0.7,0.7433628318584071,0.41660993873383256,0.7433628318584071,0.0,0.0,0.0,0.7433628318584071,0.2566371681415929,0.2566371681415929,0.0
1019,0.45,0.7644326476443265,0.39416058394160586,0.8984737889847378,0.13404114134041134,0.13404114134041134,0.13404114134041142,1.0,0.0,0.10152621101526216,0.10152621101526216
1019,0.5,0.743046357615894,0.43112582781456954,0.8688741721854305,0.1258278145695365,0.1258278145695365,0.12582781456953643,0.9490066225165563,0.05099337748344368,0.1311258278145695,0.08013245033112582
1019,0.55,0.7580964970257766,0.4091209517514871,0.8413747521480502,0.0832782551222736,0.0832782551222736,0.08327825512227363,0.9041639127561136,0.09583608724388637,0.15862524785194976,0.06278916060806339
1019,0.6,0.7330703484549639,0.4128862590401052,0.7935568704799474,0.0604865220249835,0.0604865220249835,0.060486522024983565,0.8349769888231426,0.16502301117685736,0.20644312952005262,0.041420118343195256
1019,0.7,0.7536423841059603,0.423841059602649,0.7536423841059603,0.0,0.0,0.0,0.7536423841059603,0.2463576158940397,0.2463576158940397,0.0
1020,0.45,0.7635135135135135,0.41283783783783784,0.9006756756756756,0.13716216216216215,0.13716216216216215,0.13716216216216215,1.0,0.0,0.09932432432432436,0.09932432432432436
1020,0.5,0.7468933943754088,0.4185742315238718,0.8567691301504251,0.1098757357750163,0.1098757357750163,0.10987573577501634,0.9365598430346632,0.06344015696533678,0.1432308698495749,0.07979071288423811
1020,0.55,0.743031951053705,0.4405166553365058,0.8484024473147519,0.10537049626104689,0.10537049626104689,0.1053704962610469,0.9000679809653297,0.0999320190346703,0.1515975526852481,0.0516655336505778
1020,0.6,0.7574750830564784,0.4305647840531561,0.8225913621262458,0.06511627906976747,0.06511627906976747,0.06511627906976744,0.8591362126245847,0.14086378737541527,0.17740863787375416,0.03654485049833889
