condition_id,task_id,method_id,mean_ap,mean_pk,rule_ap,rule_pk,failure_flag,n_seeds
c_fresh_seed42,T1,M7_zscore,1.0,0.4,1.0,0.4,True,1
c_fresh_seed42,T1,M8_graphif,1.0,0.4,1.0,0.4,True,1
c_fresh_seed42,T2,M2_hybrid,0.7345238095238095,0.6666666666666666,0.8734126984126984,0.6666666666666666,True,1
c_fresh_seed42,T2,M3_iforest,0.9107142857142857,0.6666666666666666,0.8734126984126984,0.6666666666666666,True,1
c_fresh_seed42,T2,M4_lof,0.9761904761904762,0.6666666666666666,0.8734126984126984,0.6666666666666666,False,1
c_fresh_seed42,T2,M5_ocsvm,0.9761904761904762,0.6666666666666666,0.8734126984126984,0.6666666666666666,False,1
c_fresh_seed42,T2,M6_linearae,0.7345238095238095,0.6666666666666666,0.8734126984126984,0.6666666666666666,True,1
c_fresh_seed42,T2,M7_zscore,0.9444444444444444,0.6666666666666666,0.8734126984126984,0.6666666666666666,False,1
c_fresh_seed42,T2,M8_graphif,0.9107142857142857,0.6666666666666666,0.8734126984126984,0.6666666666666666,True,1
c_fresh_seed42,T3,M2_hybrid,1.0,0.2,1.0,0.2,True,1
c_fresh_seed42,T3,M3_iforest,1.0,0.2,1.0,0.2,True,1
c_fresh_seed42,T3,M4_lof,0.19924242424242425,0.2,1.0,0.2,True,1
c_fresh_seed42,T3,M5_ocsvm,1.0,0.2,1.0,0.2,True,1
c_fresh_seed42,T3,M6_linearae,1.0,0.2,1.0,0.2,True,1
c_fresh_seed42,T3,M7_zscore,0.2619047619047619,0.2,1.0,0.2,True,1
c_fresh_seed42,T3,M8_graphif,1.0,0.2,1.0,0.2,True,1
c_fresh_seed42,T4,M2_hybrid,0.7916173570019724,0.45,0.9522349445426369,0.65,True,1
c_fresh_seed42,T4,M3_iforest,0.7849115892402472,0.45,0.9522349445426369,0.65,True,1
c_fresh_seed42,T4,M4_lof,1.0,0.65,0.9522349445426369,0.65,True,1
c_fresh_seed42,T4,M5_ocsvm,1.0,0.65,0.9522349445426369,0.65,True,1
c_fresh_seed42,T4,M6_linearae,1.0,0.65,0.9522349445426369,0.65,True,1
c_fresh_seed42,T4,M7_zscore,0.8296199633699635,0.5,0.9522349445426369,0.65,True,1
c_fresh_seed42,T5,M2_hybrid,0.5575140664015344,0.52,0.637830130625783,0.56,True,1
c_fresh_seed42,T5,M3_iforest,0.7131721961426498,0.64,0.637830130625783,0.56,False,1
c_fresh_seed42,T5,M4_lof,0.823751375035888,0.64,0.637830130625783,0.56,False,1
c_fresh_seed42,T5,M5_ocsvm,0.8486117903784758,0.64,0.637830130625783,0.56,False,1
c_fresh_seed42,T5,M6_linearae,0.6225668571054863,0.4,0.637830130625783,0.56,True,1
c_fresh_seed42,T5,M7_zscore,0.44722207604450304,0.36,0.637830130625783,0.56,True,1
